x,y,z,vx,vy,vz,t
0,0,0,0.590511,-0.0536828,0.805242,0
2.43338,0.32378,3.14371,0.617877,0.201941,0.7599,2
4.8042,1.65688,6.06108,0.563478,0.448546,0.693757,4
7.34106,3.64718,8.40887,0.691357,0.536554,0.483876,6
10.4674,5.48075,10.0741,0.854776,0.382652,0.350621,8
2.03633,-0.629895,3.3713,0.429833,-0.249722,0.867688,2
3.39506,-2.04231,6.8452,0.25438,-0.442858,0.859749,4
13.6691,7.49575,11.3382,0.742535,0.607901,0.281243,10
16.2406,10.229,12.6893,0.545678,0.744163,0.385301,12
18.7482,13.121,13.8163,0.677454,0.704661,0.210974,14
21.8186,15.5262,14.6514,0.840841,0.501163,0.204506,16
4.04653,-4.19573,10.1387,0.078257,-0.618953,0.78152,6
25.419,17.036,15.4676,0.943986,0.261371,0.201434,18
29.1068,17.8392,16.7577,0.891977,0.143761,0.428615,20
1.89501,-0.296223,3.49718,0.362905,-0.0916942,0.927304,2
32.457,18.1485,18.9,0.77918,0.0163533,0.626586,22
35.2413,17.9429,21.7485,0.613285,-0.112169,0.781857,24
37.35,17.2801,25.0766,0.494,-0.185497,0.849444,26
28.9966,18.5926,16.2963,0.839805,0.500577,0.210122,20
39.326,16.5381,28.4743,0.494,-0.185497,0.849444,28
41.42,15.3131,31.6403,0.544546,-0.412269,0.730414,30
43.504,14.1333,34.83,0.494,-0.185497,0.849444,32
4.14553,-7.04669,12.9264,-0.0239596,-0.7899,0.612768,8
32.018,20.9941,17.3027,0.670679,0.684217,0.286419,22
34.304,24.0939,18.3393,0.475495,0.84868,0.231615,24
45.8607,13.1701,37.9004,0.668922,-0.288268,0.685161,34
4.24559,-10.4842,14.9469,0.0690785,-0.912954,0.402173,10
48.1872,12.2368,41.0028,0.496311,-0.181061,0.849054,36
4.28685,-13.9066,16.9951,-0.0429929,-0.794348,0.60594,12
3.70093,-16.8162,19.6596,-0.238575,-0.658893,0.713402,14
35.741,27.7342,19.1091,0.250105,0.955747,0.154905,26
50.5834,11.7859,44.1594,0.685545,-0.0496078,0.726338,38
53.5187,12.0525,46.8468,0.76955,0.171172,0.615218,40
56.3528,12.371,49.6353,0.645584,-0.00415685,0.763678,42
58.5953,11.9846,52.9111,0.477622,-0.179203,0.860095,44
