x,y,z,vx,vy,vz,t
0,0,0,0.590511,-0.0536828,0.805242,0
2.43338,0.32378,3.14371,0.617877,0.201941,0.7599,2
4.8042,1.65688,6.06108,0.563478,0.448546,0.693757,4
7.34106,3.64718,8.40887,0.691357,0.536554,0.483876,6
10.4674,5.48075,10.0741,0.854776,0.382652,0.350621,8
13.6691,7.49575,11.3382,0.742535,0.607901,0.281243,10
16.2406,10.229,12.6893,0.545678,0.744163,0.385301,12
18.7482,13.121,13.8163,0.677454,0.704661,0.210974,14
21.8186,15.5262,14.6514,0.840841,0.501163,0.204506,16
25.419,17.036,15.4676,0.943986,0.261371,0.201434,18
29.1068,17.8392,16.7577,0.891977,0.143761,0.428615,20
32.457,18.1485,18.9,0.77918,0.0163533,0.626586,22
35.2413,17.9429,21.7485,0.613285,-0.112169,0.781857,24
37.35,17.2801,25.0766,0.494,-0.185497,0.849444,26
39.326,16.5381,28.4743,0.494,-0.185497,0.849444,28
41.42,15.3131,31.6403,0.544546,-0.412269,0.730414,30
43.504,14.1333,34.83,0.494,-0.185497,0.849444,32
45.8607,13.1701,37.9004,0.668922,-0.288268,0.685161,34
48.1872,12.2368,41.0028,0.496311,-0.181061,0.849054,36
50.5834,11.7859,44.1594,0.685545,-0.0496078,0.726338,38
53.5187,12.0525,46.8468,0.76955,0.171172,0.615218,40
56.3528,12.371,49.6353,0.645584,-0.00415685,0.763678,42
58.5953,11.9846,52.9111,0.477622,-0.179203,0.860095,44
60.4325,11.2014,56.3768,0.458825,-0.196228,0.866588,46
62.7289,10.5299,59.5682,0.672198,-0.140377,0.726942,48
65.0297,10.1717,62.8065,0.481173,-0.0425924,0.87559,50
67.3756,9.81247,66.0122,0.675426,-0.131565,0.725597,52
69.7716,8.85208,69.0529,0.523302,-0.335737,0.783221,54
71.4855,7.11329,72.2071,0.337951,-0.519561,0.784758,56
72.3135,4.88459,75.4096,0.0861996,-0.585171,0.806315,58
73.1811,2.48836,78.4779,0.332865,-0.605119,0.723209,60
74.6891,-0.247458,80.9579,0.412853,-0.74789,0.519821,62
76.4392,-2.85523,83.4166,0.455136,-0.557998,0.693894,64
78.294,-4.61878,86.4758,0.466403,-0.33008,0.82068,66
80.5343,-6.13312,89.4079,0.638804,-0.418381,0.645668,68
83.1956,-8.15759,91.5823,0.682088,-0.580042,0.445317,70
86.2675,-10.0599,93.2716,0.837373,-0.375856,0.396912,72
89.7957,-11.5823,94.3408,0.912906,-0.380752,0.147074,74
93.366,-12.9686,95.4543,0.864498,-0.311876,0.394179,76
96.6173,-14.033,97.505,0.757175,-0.221746,0.614422,78
99.9606,-14.8582,99.5175,0.897973,-0.190063,0.396889,80
103.317,-15.4806,101.581,0.776574,-0.122704,0.617962,82
106.723,-15.9847,103.594,0.910281,-0.12769,0.393806,84
110.497,-16.0466,104.883,0.963358,0.0862652,0.253968,86
114.16,-15.6431,106.41,0.862507,0.113026,0.493262,88
117.531,-14.6546,108.299,0.815707,0.365845,0.448084,90
121.038,-13.6477,109.91,0.92257,0.145655,0.357281,92
124.481,-13.0332,111.827,0.795369,0.159206,0.584843,94
127.624,-11.8771,113.994,0.768637,0.403385,0.496465,96
130.366,-10.2857,116.415,0.602442,0.388504,0.697229,98
132.897,-9.25408,119.319,0.653431,0.136883,0.744507,100
135.692,-9.20713,122.165,0.732145,-0.101681,0.673516,102
138.214,-9.62029,125.227,0.531603,-0.10362,0.840631,104
139.852,-10.0263,128.841,0.294833,-0.0984975,0.950459,106
140.496,-10.3976,132.76,0.0379706,-0.0866624,0.995514,108
140.101,-10.7088,136.716,-0.221479,-0.0689214,0.972726,110
138.694,-10.9387,140.441,-0.465836,-0.0464836,0.883649,112
136.371,-11.0716,143.681,-0.678447,-0.0208779,0.734353,114
133.29,-11.0985,146.214,-0.844822,0.00615054,0.535012,116
129.662,-11.0176,147.869,-0.953625,0.0327598,0.29921,118
125.735,-10.8366,148.558,-0.994085,0.0525227,0.0950602,120
121.759,-10.6265,148.938,-0.994085,0.0525227,0.0950602,122
117.782,-10.4165,149.318,-0.994085,0.0525227,0.0950602,124
113.804,-10.2042,149.675,-0.994937,0.0534161,0.085129,126
110.819,-10.044,149.93,-0.994937,0.0534161,0.085129,127.5
